Code	Name	Description	Department	Course	Program	Size	Actual Size	Subjects	Size Of Students	Priority	Internal Publisher	Tags	Notes 1	Notes 2	Number of Students	Locked	Hours	
3001_01_IA25_T3_M2_B_FAIL/11	3001_01_IA25_T3_M2_B_FAIL/11	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science  Maths 1A Stream failed Term 2 Subject MTHS1314	UNSW College	DP	3001_01_IA25_T3_M2_B_FAIL	1	1	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_A/01	3001_01_IB25_T2_A/01	Diploma of Science (3001_01_IB25) Term 2 Students Life Science Planning Students	UNSW College	DP	3001_01_IB25_T2_A	8	0	AELC1302_C_2025_KENS_DP_OC; BLSC1341_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IB25_T2_A/02	3001_01_IB25_T2_A/02	Diploma of Science (3001_01_IB25) Term 2 Students Life Science Planning Students	UNSW College	DP	3001_01_IB25_T2_A	8	0	AELC1302_C_2025_KENS_DP_OC; BLSC1341_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IB25_T2_A_FAIL/01	3001_01_IB25_T2_A_FAIL/01	Diploma of Science (3001_01_IB25) Term 2 Students Life Science  failed T1 Subjects CAL1	UNSW College	DP	3001_01_IB25_T2_A_FAIL	1	0	AELC1301_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IB25_T2_A_FAIL/02	3001_01_IB25_T2_A_FAIL/02	Diploma of Science (3001_01_IB25) Term 2 Students Life Science  failed T1 Subjects CAL1	UNSW College	DP	3001_01_IB25_T2_A_FAIL	1	0	AELC1301_C_2025_KENS_DP_OC; BLSC1341_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IB25_T2_A_FAIL/03	3001_01_IB25_T2_A_FAIL/03	Diploma of Science (3001_01_IB25) Term 2 Students Life Science  failed T1 Subjects CAL1	UNSW College	DP	3001_01_IB25_T2_A_FAIL	1	0	AELC1301_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IB25_T2_A_FAIL/04	3001_01_IB25_T2_A_FAIL/04	Diploma of Science (3001_01_IB25) Term 2 Students Life Science  failed T1 Subjects MTHS1312	UNSW College	DP	3001_01_IB25_T2_A_FAIL	1	0	AELC1302_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IB25_T2_A_FAIL/05	3001_01_IB25_T2_A_FAIL/05	Diploma of Science (3001_01_IB25) Term 2 Students Life Science  failed T1 Subjects MTHS1312	UNSW College	DP	3001_01_IB25_T2_A_FAIL	1	0	AELC1302_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IB25_T2_A_FAIL/06	3001_01_IB25_T2_A_FAIL/06	Diploma of Science (3001_01_IB25) Term 2 Students Life Science  failed T1 Subjects MTHS1312	UNSW College	DP	3001_01_IB25_T2_A_FAIL	1	0	AELC1302_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IB25_T2_M1_B/01	3001_01_IB25_T2_M1_B/01	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Fundamental Maths Stream Planning Enrolment	UNSW College	DP	3001_01_IB25_T2_M1_B	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
